,praise_comment
72,很长一段时间我能认同的非人类超英只有Chris Hemsthworth的雷神 现在这个名单可以加上Jason Momoa的海王了 温子仁的配乐还是一如既往的烂 但是造气氛还是一如既往的流毙 五星娱乐向。
73,《海王》：《超人：钢铁之躯》以来的DC电影宇宙里最喜欢的一部！虽然剧情中规中矩，但多达26％画面内容的IMAX特效场面却超乎预期的给力，像是《海底总动员》+《悬崖上的金鱼姬》+《阿凡达》+《侏罗纪世界》+《加勒比海盗》+《星球大战》+《驯龙高手》+《哥斯拉》+《魔兽》+《指环王》的结合版，不够新鲜但足够震撼！观影时还联想到《西游记》，维科像是菩提祖师（造型有道长的影子），海王去海沟族领地寻找金三叉戟则像孙悟空去东海“借”定海神针，海王最后耍三叉戟则有悟空耍金箍棒的感觉。
74,一刷广州UA花城汇暗IMAX迟到错过似乎十分精彩的30分钟，我哭，犹豫三秒还是进去看了毕竟还有五分四啊，希望东莞华南摩尔万达IMAX二刷完美，湄拉的胸好美啊目不能移，妮可妈身材保持得真好，妈妈再爱我一次，温导的认真不堆彻，连密恐细看之下都经得起看竟然不密恐了，被温导治好了密恐，大概没人能把水行侠拍得更好了，还友情预推了下陀螺儿童不宜版匹诺曹？哈哈，继续坐等沼泽怪物。20181209@东莞华南摩尔万达激光IMAX终极完美二刷，hail克总hail dc.
75,视觉效果真是太惊人了，对海底世界的构建之惊艳程度直追当年（阿凡达），那些爆炸的想象力和画面完全让大银幕前的我目瞪口呆，尤其结尾的三军大战真是目不暇接，即使整个低配版（夺宝奇兵）的寻宝故事和王位争夺很逊很肤浅也完全能原谅啊！ps：招魂男怎么也像哥哥多过弟弟啊。
76,好看的！一定要看IMAX！视觉轰炸强过《复联3》，怪不得漫威最近这么密集发新片预告。温子仁其实最适合给迪斯尼拍真人电影，《海王》就是一个标准的童话故事。扎克·施耐德给温子仁当了执行制片人，可以的。十二月最佳先给《蜘蛛侠：平行宇宙》留个位置。[愉快]
77,我不认为这个剧本多出色，只能算是没有扣分项。但是温子仁真的就是吊啊，用他娴熟的运镜能力和罕见的史诗奇观把这部片子打造的如此绚丽。同样都是因为妈妈而停战，温导就能处理地那么牛逼那么温暖那么让大众有共鸣！一生吹爆温神！
78,不好意思，从Aquadog出现开始已经丧失理性
79,放轻松，超英这个标签可以暂时拿掉，匹配海王的应该是【奇观】【史诗】这样的词汇。这次的温子仁的功课做得非常足，从詹姆斯卡梅隆多年前的《深渊》、及其破纪录深潜科研的素材都作为教科书来取经。人类栖息海底后多种族的分杈进化、地心藏海的古早科幻致敬，还有巨兽本身都让人震撼抖擞。彷佛提前窥见到了海底潘多拉的一面。and扎导给海王定下不同于漫画的摇滚人设，在温导的调教下可以说更加可爱了。今天之后，在断壁残垣的DCEU里，海王再绝不是边缘角色。
80,"零点首映场@UME 7分+ 温子仁的DC宇宙宏大而不乏机趣的小段子，娱乐性大概是今年大片之最。试听方面因看了个前SIFF厅改的假Max折扣不少，场面节奏铺得过满易乏后力。蠢萌男主相当状况外，反英雄主旨港台译名水行侠更为贴切。俩女主养眼，匹诺曹牌燃气灶周母雷雨梗情侣去死团金银大王海底大决斗等交互烂梗令我快落。友提值得高亮IMAX/杜比厅。两个联想：1/曼森歌词云Travel the world and seven seas, everybody is looking for something... 当沙雕游记不错看，西西里段尤佳。2/世界右转反乌托邦，失落帝国重建的政治相当看似正确又反戈自黑。"
81,视效惊喜。
